Quest,Total
51,1
49,1
48,1
47,1
46,4
45,2
44,3
43,3
42,8
41,3
40,2
39,2
38,3
37,1
36,1
31,2
25,1
23,1
18,1
16,1
14,1
13,1
12,1
9,1
5,1
3,1
0,6
